group,year,sales_amount,sales_transactions,store_count,sales_index_2021_100
matched_controls,2021,17674645842.0,698398.0,335.75,100.0
matched_controls,2022,21038148297.0,729122.0,350.25,119.03009817038235
matched_controls,2023,23078573716.0,698035.0,342.0,130.57446198530738
matched_controls,2024,24457664978.0,740397.0,332.75,138.37711486066448
matched_controls,2025,28449934098.0,857069.0,361.75,160.96466289805275
target,2021,1659024375.0,73080.0,54.5,100.0
target,2022,1768392593.0,74009.0,53.5,106.59232134548957
target,2023,1714221418.0,69882.0,47.75,103.32707848249667
target,2024,714531811.0,32916.0,29.25,43.069398000858186
target,2025,337060671.0,18839.0,21.0,20.316800408673924
