quarter,industry_rows,sales_amount,sales_transactions,store_count,open_count,close_count,year,quarter_no,sales_per_store,transactions_per_store,sales_per_transaction,net_entry_count,net_entry_rate,sales_amount_yoy,sales_transactions_yoy,store_count_yoy,sales_per_store_yoy,transactions_per_store_yoy,sales_per_transaction_yoy,sales_amount_4q_ma
20211,5,377415468,17618,54,2,3,2021,1,6989175.333333333,326.25925925925924,21422.151663071858,-1,-0.018518518518518517,,,,,,,
20212,5,423718501,18733,54,2,2,2021,2,7846638.907407408,346.9074074074074,22618.827790530082,0,0.0,,,,,,,
20213,5,404400729,17557,55,1,1,2021,3,7352740.527272727,319.2181818181818,23033.589394543487,0,0.0,,,,,,,
20214,5,453489677,19172,55,0,0,2021,4,8245266.8545454545,348.58181818181816,23653.749061130817,0,0.0,,,,,,,414756093.75
20221,5,426528242,17283,55,0,0,2022,1,7755058.945454545,314.23636363636365,24679.062778452815,0,0.0,0.13012920286563356,-0.019014644113974355,0.0185185185185186,0.10958139917716747,-0.03685074149372014,0.15203473332677953,427034287.25
20222,5,494053699,22058,55,0,0,2022,2,8982794.527272727,401.05454545454546,22397.93721098921,0,0.0,0.165995107209161,0.17749426146372715,0.0185185185185186,0.1447951961689944,0.15608527489165946,-0.0097657836907602,444618086.75
20223,5,407029112,16501,53,0,2,2022,3,7679794.566037736,311.33962264150944,24666.936064480942,-2,-0.03773584905660377,0.006499451686201141,-0.060146949934499094,-0.036363636363636376,0.04448056307058601,-0.02468079710183857,0.07091151283283637,445275182.5
20224,5,440781540,18167,51,0,2,2022,4,8642775.294117646,356.2156862745098,24262.758848461497,-2,-0.0392156862745098,-0.028022990697536887,-0.05242019611934068,-0.07272727272727275,0.048210500228146325,0.021899788498750183,0.025746860920725645,442098148.25
20231,5,446450810,18269,48,0,3,2023,1,9301058.541666666,380.6041666666667,24437.61618041491,-3,-0.0625,0.04670867257601197,0.057050280622577,-0.12727272727272732,0.19935368732668035,0.21120344654670298,-0.009783458967036363,447078790.25
20232,5,448546846,18508,48,0,0,2023,2,9344725.958333334,385.5833333333333,24235.29533174843,0,0.0,-0.09210912314209796,-0.1609393417354248,-0.12727272727272732,0.040291629733012924,-0.03857632907184094,0.08203247037668038,435702077.0
20233,5,407707187,17187,48,0,0,2023,3,8493899.729166666,358.0625,23721.83551521499,0,0.0,0.0016659127811968766,0.04157323798557666,-0.09433962264150941,0.10600611202923815,0.15007045027574084,-0.038314468679669034,435871595.75
20234,5,411516575,15918,47,0,1,2023,4,8755671.808510639,338.6808510638298,25852.278866691795,-1,-0.02127659574468085,-0.06639335440408867,-0.12379589365332744,-0.07843137254901966,0.013062530327478283,-0.04922533141105745,0.06551274849484345,428555354.5
20241,4,318550408,13820,43,1,2,2024,1,7408149.023255814,321.3953488372093,23049.957163531115,-1,-0.023255813953488372,-0.28648262951970005,-0.24352728666046308,-0.10416666666666663,-0.20351549341733954,-0.15556534324888904,-0.05678373073049192,396580254.0
20242,4,274717452,11168,39,2,7,2024,2,7044037.230769231,286.35897435897436,24598.62571633238,-5,-0.1282051282051282,-0.3875389952022982,-0.3965852604279231,-0.1875,-0.2462018402489825,-0.25733570514205906,0.014991786962380571,353122905.5
20243,4,158635205,6944,29,0,10,2024,3,5470179.482758621,239.44827586206895,22844.931595622118,-10,-0.3448275862068966,-0.6109089806160322,-0.5959737010531215,-0.39583333333333337,-0.3559872782610187,-0.3312668155362012,-0.03696610740894957,290854910.0
20244,3,108744208,5320,22,2,5,2024,4,4942918.545454546,241.8181818181818,20440.64060150376,-3,-0.13636363636363635,-0.7357476840392152,-0.6657871591908531,-0.5319148936170213,-0.43546096135650514,-0.2859998400895498,-0.20932925461207275,215161818.25
20251,3,84861065,4691,21,0,4,2025,1,4041003.095238095,223.38095238095238,18090.18652739288,-4,-0.19047619047619047,-0.73360239739514,-0.6605643994211288,-0.5116279069767442,-0.45451919466623913,-0.3049651988146923,-0.21517483095306655,156739482.5
20252,3,90858242,5182,21,0,0,2025,2,4326582.952380952,246.76190476190476,17533.431493631804,0,0.0,-0.6692665815785158,-0.5359957020057307,-0.46153846153846156,-0.3857807943601008,-0.13827773229635698,-0.2872190627303868,110774680.0
20253,3,79319054,4553,21,0,0,2025,3,3777097.8095238097,216.8095238095238,17421.272567537886,0,0.0,-0.49999085007643795,-0.34432603686635943,-0.27586206896551724,-0.309511173915081,-0.09454547948211545,-0.23741191806079176,90945642.25
20254,3,82022310,4413,21,1,1,2025,4,3905824.285714286,210.14285714285714,18586.51937457512,0,0.0,-0.2457316899121652,-0.17048872180451125,-0.045454545454545414,-0.20981415133655412,-0.13098818474758323,-0.09070758901715825,84265167.75
20261,3,70863598,3591,20,0,1,2026,1,3543179.9,179.55,19733.66694514063,-1,-0.05,-0.1649456909361201,-0.23449157962055,-0.04761904761904767,-0.12319297548292607,-0.19621615860157748,0.09084927981583424,80765801.0
