year,sales_amount,transactions,segment,dimension,average_ticket
2022,0,0,00–06시,time,
2023,0,0,00–06시,time,
2024,0,0,00–06시,time,
2025,0,0,00–06시,time,
2022,137436285,11247,06–11시,time,12219.81728460923
2023,97514587,7382,06–11시,time,13209.778786236791
2024,84453994,5751,06–11시,time,14685.097200486873
2025,75273239,5595,06–11시,time,13453.66201966041
2022,632684782,48277,11–14시,time,13105.304430681277
2023,537349933,39342,11–14시,time,13658.429490112349
2024,479687320,33165,11–14시,time,14463.661088496909
2025,307334543,21042,11–14시,time,14605.766704685866
2022,824728129,61200,14–17시,time,13475.949820261438
2023,662703049,47562,14–17시,time,13933.456309658972
2024,581214355,41076,14–17시,time,14149.731108189697
2025,383724420,25825,14–17시,time,14858.641626331075
2022,659120398,48391,17–21시,time,13620.722820359159
2023,485414167,33740,17–21시,time,14386.904771784233
2024,427123492,29579,17–21시,time,14440.092362824977
2025,270417396,16857,17–21시,time,16041.84588004983
2022,29713960,1884,21–24시,time,15771.740976645435
2023,19355262,1148,21–24시,time,16859.98432055749
2024,14072120,796,21–24시,time,17678.54271356784
2025,10433275,652,21–24시,time,16001.955521472393
