area_code,area_name,quarter,quarter_index,food_sales,food_transactions,target_sales,target_transactions,floating_population,food_sales_yoy_log_change,target_sales_yoy_log_change,floating_population_yoy_log_change,food_sales_yoy_log_change_lag1,quarter_label,target_code,target_industry
3110091,리움미술관,20211,8085,1034642353.0,30092.0,35594544.0,250.0,145945.0,,,,,2021Q1,CS300011,일반의류
3110091,리움미술관,20212,8086,1461176428.0,41664.0,36187417.0,356.0,157505.0,,,,,2021Q2,CS300011,일반의류
3110091,리움미술관,20213,8087,875769636.0,24579.0,32263101.0,259.0,178279.0,,,,,2021Q3,CS300011,일반의류
3110091,리움미술관,20214,8088,1898324590.0,70863.0,30247875.0,319.0,203218.0,,,,,2021Q4,CS300011,일반의류
3110091,리움미술관,20221,8089,1808660741.0,63676.0,43506545.0,400.0,191947.0,0.5585308349575724,0.20071901886107174,0.27398945384894624,,2022Q1,CS300011,일반의류
3110091,리움미술관,20222,8090,2597386176.0,94374.0,20935741.0,80.0,212534.0,0.5752637385718437,-0.5472536676051258,0.2996447717722975,0.5585308349575724,2022Q2,CS300011,일반의류
3110091,리움미술관,20223,8091,2092015005.0,68982.0,12436003.0,10.0,197999.0,0.8707799139709386,-0.9533284598782126,0.1049122412682467,0.5752637385718437,2022Q3,CS300011,일반의류
3110091,리움미술관,20224,8092,1819004188.0,55118.0,7029045.0,5.0,197642.0,-0.04268250052860145,-1.4593750838535338,-0.02782198112290365,0.8707799139709386,2022Q4,CS300011,일반의류
3110091,리움미술관,20231,8093,1953394808.0,61924.0,,,202113.0,0.07698213679712052,,0.051607654678022495,-0.04268250052860145,2023Q1,CS300011,일반의류
3110091,리움미술관,20232,8094,2067735689.0,67512.0,10543568.0,16.0,204085.0,-0.22805148391788904,-0.6859417883634129,-0.040565401836404065,0.07698213679712052,2023Q2,CS300011,일반의류
3110091,리움미술관,20233,8095,1850495427.0,63764.0,126022129.0,1260.0,219334.0,-0.12267431712206861,2.31586178508339,0.10233370198953504,-0.22805148391788904,2023Q3,CS300011,일반의류
3110091,리움미술관,20234,8096,1772222605.0,54071.0,233587066.0,1790.0,231285.0,-0.02605473401519929,3.5035040310485837,0.15719340295605078,-0.12267431712206861,2023Q4,CS300011,일반의류
3110091,리움미술관,20241,8097,1726827600.0,53213.0,269471801.0,2260.0,221017.0,-0.12328281820473913,,0.08941267470362396,-0.02605473401519929,2024Q1,CS300011,일반의류
3110091,리움미술관,20242,8098,1772821641.0,57931.0,158911571.0,1703.0,236164.0,-0.15388171377737866,2.7128318845223545,0.145989905208611,-0.12328281820473913,2024Q2,CS300011,일반의류
3110091,리움미술관,20243,8099,1481039291.0,47433.0,162083023.0,1676.0,237320.0,-0.22270933663601503,0.2516511730947655,0.07881375922417658,-0.15388171377737866,2024Q3,CS300011,일반의류
3110091,리움미술관,20244,8100,1571515575.0,45886.0,215990933.0,1584.0,247911.0,-0.12019397976255895,-0.078318451319254,0.06941909449621848,-0.22270933663601503,2024Q4,CS300011,일반의류
3110091,리움미술관,20251,8101,1362399336.0,41692.0,154657377.0,1465.0,253011.0,-0.23703860490220213,-0.5552515511118096,0.13519334440698985,-0.12019397976255895,2025Q1,CS300011,일반의류
3110091,리움미술관,20252,8102,1386123749.0,41041.0,155419759.0,1579.0,238561.0,-0.2460612429642709,-0.022218311131817332,0.01009856388717106,-0.23703860490220213,2025Q2,CS300011,일반의류
3110091,리움미술관,20253,8103,1141365271.0,31908.0,227757067.0,2017.0,252110.0,-0.2605189129924444,0.3401708736866621,0.060456058815614354,-0.2460612429642709,2025Q3,CS300011,일반의류
3110091,리움미술관,20254,8104,945501204.0,29064.0,211955180.0,1584.0,234294.0,-0.5080806056036311,-0.018861592724908994,-0.05649307379641192,-0.2605189129924444,2025Q4,CS300011,일반의류
3110091,리움미술관,20211,8085,1034642353.0,30092.0,,,145945.0,,,,,2021Q1,CS300022,화장품
3110091,리움미술관,20212,8086,1461176428.0,41664.0,,,157505.0,,,,,2021Q2,CS300022,화장품
3110091,리움미술관,20213,8087,875769636.0,24579.0,56505497.0,82.0,178279.0,,,,,2021Q3,CS300022,화장품
3110091,리움미술관,20214,8088,1898324590.0,70863.0,26179737.0,65.0,203218.0,,,,,2021Q4,CS300022,화장품
3110091,리움미술관,20221,8089,1808660741.0,63676.0,3773567.0,65.0,191947.0,0.5585308349575724,,0.27398945384894624,,2022Q1,CS300022,화장품
3110091,리움미술관,20222,8090,2597386176.0,94374.0,,,212534.0,0.5752637385718437,,0.2996447717722975,0.5585308349575724,2022Q2,CS300022,화장품
3110091,리움미술관,20223,8091,2092015005.0,68982.0,18925013.0,65.0,197999.0,0.8707799139709386,-1.093853439209893,0.1049122412682467,0.5752637385718437,2022Q3,CS300022,화장품
3110091,리움미술관,20224,8092,1819004188.0,55118.0,9579307.0,48.0,197642.0,-0.04268250052860145,-1.0053804634331356,-0.02782198112290365,0.8707799139709386,2022Q4,CS300022,화장품
3110091,리움미술관,20231,8093,1953394808.0,61924.0,7406647.0,82.0,202113.0,0.07698213679712052,0.6743571322896652,0.051607654678022495,-0.04268250052860145,2023Q1,CS300022,화장품
3110091,리움미술관,20232,8094,2067735689.0,67512.0,12552421.0,147.0,204085.0,-0.22805148391788904,,-0.040565401836404065,0.07698213679712052,2023Q2,CS300022,화장품
3110091,리움미술관,20233,8095,1850495427.0,63764.0,31344297.0,98.0,219334.0,-0.12267431712206861,0.5045478504096583,0.10233370198953504,-0.22805148391788904,2023Q3,CS300022,화장품
3110091,리움미술관,20234,8096,1772222605.0,54071.0,11680090.0,114.0,231285.0,-0.02605473401519929,0.19828043168820378,0.15719340295605078,-0.12267431712206861,2023Q4,CS300022,화장품
3110091,리움미술관,20241,8097,1726827600.0,53213.0,5480657.0,98.0,221017.0,-0.12328281820473913,-0.3011528559897423,0.08941267470362396,-0.02605473401519929,2024Q1,CS300022,화장품
3110091,리움미술관,20242,8098,1772821641.0,57931.0,1283994.0,114.0,236164.0,-0.15388171377737866,-2.2799380229802453,0.145989905208611,-0.12328281820473913,2024Q2,CS300022,화장품
3110091,리움미술관,20243,8099,1481039291.0,47433.0,137297411.0,212.0,237320.0,-0.22270933663601503,1.477117119422571,0.07881375922417658,-0.15388171377737866,2024Q3,CS300022,화장품
3110091,리움미술관,20244,8100,1571515575.0,45886.0,47550216.0,49.0,247911.0,-0.12019397976255895,1.4039006487179866,0.06941909449621848,-0.22270933663601503,2024Q4,CS300022,화장품
3110091,리움미술관,20251,8101,1362399336.0,41692.0,88291676.0,98.0,253011.0,-0.23703860490220213,2.779420849346008,0.13519334440698985,-0.12019397976255895,2025Q1,CS300022,화장품
3110091,리움미술관,20252,8102,1386123749.0,41041.0,124892013.0,180.0,238561.0,-0.2460612429642709,4.577473935569444,0.01009856388717106,-0.23703860490220213,2025Q2,CS300022,화장품
3110091,리움미술관,20253,8103,1141365271.0,31908.0,517343024.0,147.0,252110.0,-0.2605189129924444,1.3265566877808097,0.060456058815614354,-0.2460612429642709,2025Q3,CS300022,화장품
3110091,리움미술관,20254,8104,945501204.0,29064.0,51743614.0,65.0,234294.0,-0.5080806056036311,0.0845146919969366,-0.05649307379641192,-0.2605189129924444,2025Q4,CS300022,화장품
