year,area_code,industry_code,area_name,area_type,industry_name,sales_amount,sales_transactions,store_count,open_count,close_count,observed_quarters,year_end_store_count,complete_year,sales_per_store,net_entry_count,net_entry_rate,seoul_sales_amount,sales_2021,seoul_sales_2021,absolute_sales_index_2021_100,relative_sales_index_2021_100,relative_log_performance_vs_seoul
2021,3110091,CS100003,리움미술관,골목상권,일식음식점,1858509036.0,9409.0,3.0,1.0,0.0,4,3.0,True,619503012.0,1.0,0.3333333333333333,970496439926.0,1858509036.0,970496439926.0,100.0,100.0,0.0
2022,3110091,CS100003,리움미술관,골목상권,일식음식점,2053408075.0,12018.0,3.0,0.0,0.0,4,3.0,True,684469358.3333334,0.0,0.0,1121579967238.0,1858509036.0,970496439926.0,110.4868491476089,95.60360998641283,-0.04495960527952719
2023,3110091,CS100003,리움미술관,골목상권,일식음식점,1314334848.0,9875.0,3.0,0.0,0.0,4,3.0,True,438111616.0,0.0,0.0,1158373773017.0,1858509036.0,970496439926.0,70.7198524484333,59.24975740303581,-0.5234085004447638
2024,3110091,CS100003,리움미술관,골목상권,일식음식점,1077041589.0,9448.0,3.0,1.0,1.0,4,3.0,True,359013863.0,0.0,0.0,1063861334118.0,1858509036.0,970496439926.0,57.95191565589999,52.866032468010125,-0.637409161718894
2025,3110091,CS100003,리움미술관,골목상권,일식음식점,806968748.0,8045.0,3.0,0.0,0.0,4,3.0,True,268989582.6666667,0.0,0.0,1065857168502.0,1858509036.0,970496439926.0,43.42022192890753,39.53547627964611,-0.9279717834997969
2021,3110091,CS100004,리움미술관,골목상권,양식음식점,1581862021.0,54709.0,11.25,1.0,3.0,4,10.0,True,140609957.42222223,-2.0,-0.1777777777777777,1164397783067.0,1581862021.0,1164397783067.0,100.0,100.0,0.0
2022,3110091,CS100004,리움미술관,골목상권,양식음식점,740802561.0,29044.0,7.0,0.0,3.0,4,7.0,True,105828937.28571428,-3.0,-0.4285714285714285,1464065002842.0,1581862021.0,1164397783067.0,46.831047914766266,37.24559241892015,-0.9876365724876893
2023,3110091,CS100004,리움미술관,골목상권,양식음식점,649440034.0,27746.0,7.0,0.0,0.0,4,7.0,True,92777147.71428572,0.0,0.0,1510500331203.0,1581862021.0,1164397783067.0,41.05541604630256,31.648344882609248,-1.1504843331536387
2024,3110091,CS100004,리움미술관,골목상권,양식음식점,427001102.0,16405.0,8.0,1.0,0.0,4,8.0,True,53375137.75,1.0,0.125,1426097361069.0,1581862021.0,1164397783067.0,26.993574428828136,22.04005075671743,-1.512308898769667
2025,3110091,CS100004,리움미술관,골목상권,양식음식점,265348527.0,10171.0,8.0,0.0,0.0,4,8.0,True,33168565.875,0.0,0.0,1388088424762.0,1581862021.0,1164397783067.0,16.774441985291205,14.07123833858642,-1.9610373060419741
2021,3110091,CS100010,리움미술관,골목상권,커피-음료,1198271899.0,88864.0,7.75,2.0,0.0,4,9.0,True,154615728.9032258,2.0,0.2580645161290322,2310436326818.0,1198271899.0,2310436326818.0,100.0,100.0,0.0
2022,3110091,CS100010,리움미술관,골목상권,커피-음료,2283683554.0,170999.0,8.25,2.0,3.0,4,8.0,True,276810127.7575757,-1.0,-0.1212121212121212,2650146668031.0,1198271899.0,2310436326818.0,190.58141611313877,166.15164447912073,0.5077307063206831
2023,3110091,CS100010,리움미술관,골목상권,커피-음료,1802336998.0,129174.0,8.75,1.0,1.0,4,8.0,True,205981371.2,0.0,0.0,2790408434190.0,1198271899.0,2310436326818.0,150.41135484393095,124.5394236697853,0.21945213577395792
2024,3110091,CS100010,리움미술관,골목상권,커피-음료,1586551281.0,110367.0,8.25,2.0,1.0,4,9.0,True,192309246.1818182,1.0,0.1212121212121212,2805742958545.0,1198271899.0,2310436326818.0,132.40327861514842,109.02971128220598,0.08645023966841515
2025,3110091,CS100010,리움미술관,골목상권,커피-음료,1047182873.0,69971.0,8.25,0.0,1.0,4,8.0,True,126931257.33333331,-1.0,-0.1212121212121212,2752953132228.0,1198271899.0,2310436326818.0,87.3910899415993,73.34362015741279,-0.310014663267629
