quarter,observed_industries,expected_industries,total_series_comparable,comparability_note
20211,3,4,False,incomplete industry coverage; do not compare total series
20212,3,4,False,incomplete industry coverage; do not compare total series
20213,3,4,False,incomplete industry coverage; do not compare total series
20214,4,4,True,all target industries observed
20221,4,4,True,all target industries observed
20222,4,4,True,all target industries observed
20223,4,4,True,all target industries observed
20224,4,4,True,all target industries observed
20231,4,4,True,all target industries observed
20232,4,4,True,all target industries observed
20233,4,4,True,all target industries observed
20234,4,4,True,all target industries observed
20241,4,4,True,all target industries observed
20242,4,4,True,all target industries observed
20243,4,4,True,all target industries observed
20244,4,4,True,all target industries observed
20251,4,4,True,all target industries observed
20252,4,4,True,all target industries observed
20253,4,4,True,all target industries observed
20254,4,4,True,all target industries observed
20261,4,4,True,all target industries observed
