quarter,area_code,area_name,sales_amount,transactions,floating_population,average_ticket,year
20221,3110091,리움미술관,1978673468,64520,191947,30667.598698078116,2022
20221,3120005,삼청동,13730261842,556851,265443,24656.976178546865,2022
20222,3110091,리움미술관,2678094493,94833,212534,28240.1114907258,2022
20222,3120005,삼청동,23188271998,944970,310501,24538.63297035885,2022
20223,3110091,리움미술관,2205796994,69559,197999,31711.165974208943,2022
20223,3120005,삼청동,19406780090,845408,284287,22955.519808187288,2022
20224,3110091,리움미술관,1835612540,55171,197642,33271.329865327796,2022
20224,3120005,삼청동,23448752979,821095,295309,28557.90496714753,2022
20231,3110091,리움미술관,1960801455,62006,202113,31622.769651324066,2023
20231,3120005,삼청동,19557043934,671206,294454,29137.170904312537,2023
20232,3110091,리움미술관,2090831678,67675,204085,30895.18548947174,2023
20232,3120005,삼청동,22693086726,881932,316796,25731.107076282526,2023
20233,3110091,리움미술관,2007861853,65122,219334,30832.312475046834,2023
20233,3120005,삼청동,18428856587,772894,296415,23843.963838508254,2023
20234,3110091,리움미술관,2017489761,55975,231285,36042.693363108534,2023
20234,3120005,삼청동,19188123866,722025,306863,26575.428643052524,2023
20241,3110091,리움미술관,2001780058,55571,221017,36022.026920516095,2024
20241,3120005,삼청동,15682344193,633042,289349,24772.991670378902,2024
20242,3110091,리움미술관,1933017206,59748,236164,32352.83534176876,2024
20242,3120005,삼청동,22291302313,907084,330151,24574.68361585035,2024
20243,3110091,리움미술관,1780419725,49321,237320,36098.61367368869,2024
20243,3120005,삼청동,16384268872,724888,305699,22602.48324154904,2024
20244,3110091,리움미술관,1835056724,47519,247911,38617.32620635956,2024
20244,3120005,삼청동,21270317531,738920,319775,28785.683877821684,2024
20251,3110091,리움미술관,1605348389,43255,253011,37113.59123800717,2025
20251,3120005,삼청동,14845386022,523900,304687,28336.29704523764,2025
20252,3110091,리움미술관,1666435521,42800,238561,38935.40936915888,2025
20252,3120005,삼청동,22217843688,830890,331805,26739.813558954855,2025
20253,3110091,리움미술관,1886465362,34072,252110,55367.027529936604,2025
20253,3120005,삼청동,16204534893,610473,297125,26544.228644018654,2025
20254,3110091,리움미술관,1209199998,30713,234294,39370.9503467587,2025
20254,3120005,삼청동,17822367436,581589,325132,30644.264998134422,2025
