area_code,dimension,segment,year,sales_amount,transactions,floating_population,sales_share,population_share,average_ticket
3110091,age,10대,2022,29193348,1385,14756.0,0.003936725692763465,0.07376875026558449,21078.22960288809
3110091,age,10대,2025,38573778,941,15300.0,0.006912908070000056,0.0625782227784731,40992.32518597237
3110091,age,20대,2022,2608619788,115171,53401.25,0.35177262101184087,0.2669655377554923,22649.970808623697
3110091,age,20대,2025,1520297860,44335,61914.0,0.2724565725762671,0.25323320817688777,34291.14379158678
3110091,age,30대,2022,2543047372,90053,56185.0,0.34293017461604636,0.28088216546976585,28239.452011593174
3110091,age,30대,2025,1482090368,49133,61319.0,0.2656093075823829,0.2507996106243916,30164.866138847618
3110091,age,40대,2022,1052237930,30299,35351.5,0.14189438271798233,0.17673054859133983,34728.47057658669
3110091,age,40대,2025,767695136,20816,47744.5,0.13758066168561944,0.19527882074815742,36880.050730207535
3110091,age,50대,2022,786435398,23091,21947.0,0.10605088655830983,0.10971826796413547,34058.09181066216
3110091,age,50대,2025,860390515,16662,30846.5,0.15419284402204536,0.12616465025726603,51637.88950906254
3110091,age,60대 이상,2022,396108065,8271,18389.75,0.053415209403057176,0.09193472995368206,47891.19393060089
3110091,age,60대 이상,2025,910916319,8510,27370.0,0.16324770606368516,0.11194548741482409,107040.6955346651
3110091,sex,남성,2022,2850908649,86150,91927.5,0.3844452966059338,0.4595674159690647,33092.38130005804
3110091,sex,남성,2025,2131242682,47555,113492.0,0.3819455982352448,0.46419135029898484,44816.37434549469
3110091,sex,여성,2022,4564733249,182117,108103.0,0.6155547033940661,0.5404325840309353,25064.838806920827
3110091,sex,여성,2025,3448721302,92841,131002.0,0.6180544017647552,0.5358086497010152,37146.53334195021
3110091,time,00–06시,2022,0,0,20757.0,0.0,0.10376917520078188,
3110091,time,00–06시,2025,0,0,28951.0,0.0,0.11841190376859964,
3110091,time,06–11시,2022,144853807,11319,34246.5,0.016653351473140985,0.17120639102536864,12797.403215831788
3110091,time,06–11시,2025,91287815,5637,42661.5,0.01433663797371722,0.1744889445139758,16194.396842291999
3110091,time,11–14시,2022,2704181408,94594,37340.5,0.3108905755894787,0.18667403221008796,28587.240290081823
3110091,time,11–14시,2025,1905880960,51383,44931.0,0.29931623781904115,0.18377138089278264,37091.66377984937
3110091,time,14–17시,2022,1831709925,82319,43150.25,0.21058548483897085,0.21571835295117495,22251.362686621556
3110091,time,14–17시,2025,1393528309,41201,51229.5,0.21885189027976346,0.20953274926992074,33822.68170675469
3110091,time,17–21시,2022,3529111139,90387,47285.5,0.40572995216856056,0.23639145030382866,39044.45483310653
3110091,time,17–21시,2025,2733995136,49131,55024.75,0.42937054070946684,0.2250556250869142,55647.04842156683
3110091,time,21–24시,2022,488321216,5464,17250.75,0.05614063592984889,0.08624059830875791,89370.64714494876
3110091,time,21–24시,2025,242757050,3488,21696.25,0.0381246932180113,0.08873939646780699,69597.77809633028
3120005,age,10대,2022,536174431,40003,37408.5,0.007487403216780186,0.12949281677208643,13403.35552333575
3120005,age,10대,2025,220894968,16074,37846.0,0.003531068339538115,0.12026496042912277,13742.377006345652
3120005,age,20대,2022,11851381997,677515,46350.75,0.16549852166976717,0.16044720256088285,17492.42746950252
3120005,age,20대,2025,8083253789,415884,48581.5,0.12921309069742778,0.15437964844600296,19436.31827384559
3120005,age,30대,2022,17288547693,824007,48180.25,0.24142577513179822,0.16678017790831812,20981.068963006383
3120005,age,30대,2025,15503692564,684828,53455.5,0.24783089653120982,0.16986798055855235,22638.812320757912
3120005,age,40대,2022,18244274464,670217,51619.0,0.25477201338154487,0.17868371383397705,27221.443896529036
3120005,age,40대,2025,14709758241,536112,59865.75,0.23513963254724288,0.19023812436743,27437.84552668099
3120005,age,50대,2022,15065207658,538149,43917.25,0.21037796239106876,0.15202342802795923,27994.49159619362
3120005,age,50대,2025,13033738546,448600,51230.75,0.20834798520896206,0.1627982910084099,29054.254449398126
3120005,age,60대 이상,2022,8624612310,291443,61409.0,0.12043832420904083,0.21257266089677632,29592.79279310191
3120005,age,60대 이상,2025,11006207303,307769,63709.0,0.17593732667561937,0.202450995190482,35761.26024063502
3120005,sex,남성,2022,28434961003,1298559,137643.75,0.39708182368371486,0.47646472391310746,21897.31926158149
3120005,sex,남성,2025,25968852877,1065966,149340.0,0.41511891033531906,0.47456641474988265,24361.802231028007
3120005,sex,여성,2022,43174866763,1742792,151241.75,0.6029181763162852,0.5235352760868925,24773.39049238234
3120005,sex,여성,2025,36588771530,1343327,165347.25,0.584881089664681,0.5254335852501174,27237.427320376944
3120005,time,00–06시,2022,191701413,1664,55155.25,0.0024030542810193935,0.19092409369447957,115205.17608173077
3120005,time,00–06시,2025,40932437,1159,51065.75,0.000575782261559797,0.16227396298244137,35317.029335634164
3120005,time,06–11시,2022,2838129032,333553,56542.25,0.035577088419442314,0.19572529970758337,8508.779810105141
3120005,time,06–11시,2025,4083491702,371897,62845.5,0.05744104821411499,0.19970701185458,10980.168439110828
3120005,time,11–14시,2022,27852611776,1090614,53352.25,0.34914368610255353,0.18468287203505193,25538.46895051778
3120005,time,11–14시,2025,27728437644,994290,61901.0,0.3900462251046066,0.19670563112411163,27887.676275533297
3120005,time,14–17시,2022,25886221222,1045864,52380.75,0.3244941899668845,0.18131995088023553,24751.039544338462
3120005,time,14–17시,2025,19678489570,704735,61468.25,0.2768104236914962,0.1953304617105487,27923.247135448077
3120005,time,17–21시,2022,21006419510,659044,46351.25,0.26332391369694713,0.16044837794872194,31874.077466754876
3120005,time,17–21시,2025,18207814603,452237,51350.5,0.2561229537878929,0.1631788260454386,40261.665018563275
3120005,time,21–24시,2022,1998983956,37585,25104.0,0.02505806753315315,0.08689940573392768,53185.68460822137
3120005,time,21–24시,2025,1350966083,22534,26057.5,0.019003566940329508,0.08280410628287974,59952.34237152747
