year,industry_code,industry_name,store_count,open_count,close_count,sales_amount,sales_transactions
2021,CS100001,한식음식점,,,,,
2021,CS100003,일식음식점,3.0,1.0,0.0,1858509036.0,9409.0
2021,CS100004,양식음식점,11.25,1.0,3.0,1581862021.0,54709.0
2021,CS100010,커피-음료,7.75,2.0,0.0,1198271899.0,88864.0
2022,CS100001,한식음식점,3.0,0.0,0.0,3239171920.0,70089.0
2022,CS100003,일식음식점,3.0,0.0,0.0,2053408075.0,12018.0
2022,CS100004,양식음식점,7.0,0.0,3.0,740802561.0,29044.0
2022,CS100010,커피-음료,8.25,2.0,3.0,2283683554.0,170999.0
2023,CS100001,한식음식점,3.0,0.0,0.0,3877736649.0,80476.0
2023,CS100003,일식음식점,3.0,0.0,0.0,1314334848.0,9875.0
2023,CS100004,양식음식점,7.0,0.0,0.0,649440034.0,27746.0
2023,CS100010,커피-음료,8.75,1.0,1.0,1802336998.0,129174.0
2024,CS100001,한식음식점,3.0,0.0,0.0,3461610135.0,68243.0
2024,CS100003,일식음식점,3.0,1.0,1.0,1077041589.0,9448.0
2024,CS100004,양식음식점,8.0,1.0,0.0,427001102.0,16405.0
2024,CS100010,커피-음료,8.25,2.0,1.0,1586551281.0,110367.0
2025,CS100001,한식음식점,3.0,0.0,0.0,2715889412.0,55518.0
2025,CS100003,일식음식점,3.0,0.0,0.0,806968748.0,8045.0
2025,CS100004,양식음식점,8.0,0.0,0.0,265348527.0,10171.0
2025,CS100010,커피-음료,8.25,0.0,1.0,1047182873.0,69971.0
